mV_1,uA_1,i1_bac1,i1_bac2,i1_bac3,i1_bac4,i1_bac5,mV_2,uA_2,i2_bac1,i2_bac2,i2_bac3,i2_bac4,i2_bac5,mV_3,uA_3,i3_bac1,i3_bac2,i3_bac3,i3_bac4,i3_bac5,mV_4,uA_4,i4_bac1,i4_bac2,i4_bac3,i4_bac4,i4_bac5,mV_5,uA_5,i5_bac1,i5_bac2,i5_bac3,i5_bac4,i5_bac5
0.0,5.45165,11.259314917257234,-0.09341494309663367,-2.5527093693442264,-3.7659723857705343,-4.513421752764517,0.0,-6.17364,7.973128714856507,-3.200719134314147,-5.670808673052244,-6.876715204499005,-7.618304239740695,0.0,-8.64834,6.59314473035192,-4.606436397378576,-7.06849611751724,-8.251794000423416,-8.967703451313085,0.0,-9.82813,5.8501189504359035,-5.38411307362756,-7.8357985926571105,-8.997740899701247,-9.690884125884233,0.0,-10.48997,5.3452971098749575,-5.919783072776682,-8.362555942247921,-9.506774507280936,-10.180675770327367
10.0,5.279,12.51175965546037,1.4676971806680226,-0.9794204256594206,-2.195734921306802,-2.9701100775924667,10.0,-6.17364,9.478784577463427,-1.3512432306822177,-3.816181115665236,-5.0314382933917825,-5.819878956484816,10.0,-8.61956,8.09533999736851,-2.7470568020025468,-5.210043032422009,-6.4060163715493665,-7.17799904791014,10.0,-9.79935,7.305054744224647,-3.566986408809145,-6.0242145415924195,-7.200565425384085,-7.954347711503553,10.0,-10.43241,6.766004674620019,-4.13511496828469,-6.586674974090853,-7.746458931376638,-8.48354133477186
20.0,5.13511,14.232939690186598,3.523582822730018,1.0885645076923902,-0.13317087486486767,-0.9436390187400647,20.0,-6.11609,11.47486053179806,1.0052492430550517,-1.455816454127599,-2.6836883040377195,-3.5275730816158766,20.0,-8.53324,10.110933117671765,-0.3585567820494267,-2.8248556736931785,-4.03808116281564,-4.875437344516117,20.0,-9.71303,9.295848582754752,-1.1976356073989292,-3.6635573671425172,-4.860088190984386,-5.684670526200413,20.0,-10.31732,8.74286143681105,-1.7769282253926215,-4.240911866118566,-5.42299925507934,-6.23423847773062
30.0,5.04879,16.543378126369575,6.2038776611379305,3.7802657543037315,2.550388576945598,1.6909187377842463,30.0,-6.001,14.008015195835602,3.915013787847344,1.4567386520464842,0.21291613900172301,-0.6949141767829752,30.0,-8.41813,12.679857012335743,2.597568321030586,0.12611694546078672,-1.1089193771874206,-2.020232951753154,30.0,-9.59793,11.860569403786526,1.7599971466752475,-0.7168921270028502,-1.9392373661612952,-2.8437033944928216,30.0,-10.20221,11.31314119400335,1.1897556875051944,-1.2891373359822103,-2.500003315272572,-3.3950556667536826
40.0,21.73856,19.327416978414103,9.372115865388396,6.959023932871489,5.719156136972032,4.802063644873751,40.0,12.84695,17.1023516009444,7.399038630933391,4.942814777401836,3.679814336545089,2.700453058641324,40.0,10.45857,15.823827900161348,6.139780959544782,3.662127022225127,2.400995426001865,1.4084973493859252,40.0,9.19245,15.019840719922223,5.322871506432072,2.833927296409664,1.580601154151066,0.5888792331685455,40.0,8.09899,14.496415695766828,4.780601466868425,2.2858006881226665,1.0403306038990472,0.05377760277736656
50.0,8.76083,22.436186388061643,12.850683190308015,10.447440819459821,9.196952156841887,8.220611326443839,50.0,-1.33937,20.762419749885108,11.456966533188549,9.002588092170301,7.717463359302692,6.660604290921842,50.0,-3.75651,19.543720013855093,10.2639812499024,7.780122652149448,6.489180384330084,5.410287247912586,50.0,-4.96508,18.77450522875631,9.4866379136061,6.986033382284542,5.697390082738671,4.613378828230009,50.0,-5.74201,18.292352669952002,8.989906087476804,6.4799843232341034,5.195140627705689,4.111990273269322
60.0,7.55225,26.24122868244242,17.03931168145653,14.646354007870416,13.38299173184302,12.339133308216699,60.0,-2.54794,24.97244870020806,16.067071928694983,13.615070035213185,12.30533933687524,11.167214661756407,60.0,-4.96508,23.81790584080064,14.94207196426279,12.453312499698868,11.129737341085663,9.961888606437228,60.0,-6.14487,23.104164861443962,14.224405434377088,11.714278266688446,10.38718837614646,9.208772978703783,60.0,-6.89303,22.679278919609494,13.789398505860495,11.267163813779066,9.93963844799447,8.757941910737197
70.0,36.75936,30.76537789079858,21.964718830417944,19.582681099374778,18.303357329508483,17.18353251912921,70.0,29.16263,29.68482316435305,21.17416918685365,18.726006561616064,17.389925899422487,16.16971193697402,70.0,26.80305,28.601734564344053,20.1217541294526,17.630942890761524,16.273146648026632,15.01699405993601,70.0,25.50815,27.96671608636931,19.48659685663998,16.971032006228974,15.603943422761326,14.332418690737082,70.0,24.12692,27.613616156832794,19.12798893625886,16.598423264884328,15.226751009784543,13.948162424465888
80.0,16.70286,35.699641092967944,27.278140339695174,24.907432687800856,23.610357530332415,22.417990276088027,80.0,8.15654,34.816854762752854,26.68639595260151,24.24467190040412,22.881584699232512,21.58212039565987,80.0,5.7394,33.828595176184656,25.728007373265218,23.239739404891026,21.847706663371852,20.507555292587632,80.0,4.50206,33.29893627666941,25.2019291860315,22.687083755262428,21.28036284843336,19.920796018663,80.0,3.32226,33.030249832558646,24.93251095141114,22.40281966330721,20.987710930227745,19.61780660777337
90.0,13.79653,41.58811823843428,33.54173926138472,31.183507151584703,29.86573898712002,28.601413961535417,90.0,5.04879,40.25067044455095,32.4760106559792,30.04468474849614,28.65540347142895,27.283613050241485,90.0,2.68919,39.41287049941452,31.666556433007056,29.18731211955175,27.762911720083636,26.346990758129138,90.0,1.45185,39.01809045099658,31.279465133029493,28.773592817093284,27.329811190785993,25.891242604223105,90.0,0.38716,38.843839665704245,31.1094437912367,28.588986560514424,27.133587007223795,25.68202039418039
